Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Species,1995,07 Jul 1995,"Action, Horror, Sci-Fi",108 min,Roger Donaldson,Dennis Feldman,"Natasha Henstridge, Michael Madsen, Ben Kingsley",R,5.9,49,"88,790",3 wins & 8 nominations total,"$60,074,103",United States,English,"In 1993, a search for extraterrestrial life, a transmission's received, detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armor-plated killing machine in the blink of an eye. Government agent Xavier Fitch assembles a team of scientists and mercenaries to locate and destroy Sil before she manages to find a mate and breed.",https://m.media-amazon.com/images/M/MV5BMjEzOTkxNTcyM15BMl5BanBnXkFtZTcwOTk0MjI3NA@@._V1_SX300.jpg
A Cinderella Story,2004,16 Jul 2004,"Comedy, Family, Romance",95 min,Mark Rosman,Leigh Dunlap,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge",PG,5.9,25,"98,256",6 wins & 8 nominations total,"$51,438,175","United States, Canada","English, German, Czech","Samantha Montgomery (Hilary Duff) or ""Sam"", has a rough childhood with her father dying in an earthquake and a new stepmother with two awful daughters. But on the bright side, Sam has an awesome best friend named Carter (Dan Byrd) and an e-mail relationship with a guy named Nomad. One day, Sam gets an e-mail from her Nomad saying that he wants to meet her in the middle of the dance floor at their high school Halloween dance. She accepts the invitation and glides into the room wearing the best outfit ever. Her Nomad takes her outside where they share a romantic dance together and Sam realizes that her e-mail friend is the most popular guy in school, Austin Ames (Chad Michael Murray). She runs back to her stepmother's diner before she knows she went to the dance and drops her phone on the way. Austin finds it and starts a search for his Cinderella.",https://m.media-amazon.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1_SX300.jpg
Cook Off!,2007,17 Nov 2017,Comedy,98 min,"Cathryn Michon, Guy Shalem","Cathryn Michon, Wendi McLendon-Covey, W. Bruce Cameron","Louie Anderson, Nick Rey Angelus, Diedrich Bader",R,4.4,N/A,"1,548",1 win total,N/A,United States,English,"Amateur ""chefs"" from around the country compete for a million dollar prize in the ultimate food fight.",https://m.media-amazon.com/images/M/MV5BMjc0MmUxY2ItNzM4ZC00YTYwLWE4MzYtNmVhNWI0MDE1YjNjXkEyXkFqcGc@._V1_SX300.jpg
To Catch a Killer,2023,06 Apr 2023,"Action, Crime, Drama",119 min,Damián Szifron,"Damián Szifron, Jonathan Wakeham","Shailene Woodley, Ben Mendelsohn, Jovan Adepo",R,6.6,43,"49,380",1 nomination total,N/A,"United States, Canada",English,An intuitive but troubled police officer is recruited by an FBI expert to stop a relentless shooter who is terrorizing Baltimore.,https://m.media-amazon.com/images/M/MV5BZDk4YWM2YTktZGM4Zi00ZThkLTk4OWYtYzZjZjAxYjAzZThkXkEyXkFqcGc@._V1_SX300.jpg
Demolition,2015,08 Apr 2016,"Comedy, Drama",101 min,Jean-Marc Vallée,Bryan Sipe,"Jake Gyllenhaal, Naomi Watts, Chris Cooper",R,7.0,49,"123,235",1 win & 2 nominations total,"$1,978,592",United States,English,"Davis (Jake Gyllenhaal), a successful private equity fund partner, struggles after losing his wife in a tragic car crash. Despite pressure from his father-in-law, Phil (Chris Cooper), to pull it together, Davis continues to unravel. What starts as a complaint letter to a vending machine company turns into a series of letters revealing startling personal admissions. Davis' letters catch the attention of customer service rep, Karen (Naomi Watts), and, amidst emotional and financial burdens of her own, the two form an unlikely connection. With the help of Karen and her son Chris (Judah Lewis), Davis starts to rebuild, beginning with the demolition of the life he once knew.",https://m.media-amazon.com/images/M/MV5BNTEwYmRiZWMtOTM4OS00YzA0LTgyMWUtOTk5NzZkZDBmNWE0XkEyXkFqcGc@._V1_SX300.jpg
End of Watch,2012,21 Sep 2012,"Action, Crime, Drama",109 min,David Ayer,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick",R,7.6,68,"281,984",3 wins & 10 nominations total,"$41,003,371","United States, United Kingdom","English, Spanish","In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?",https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg
The Hunchback of Notre Dame,1996,21 Jun 1996,"Animation, Drama, Family",91 min,"Gary Trousdale, Kirk Wise","Tab Murphy, Victor Hugo, Irene Mecchi","Demi Moore, Jason Alexander, Mary Kay Bergman",G,7.0,74,"179,425",Nominated for 1 Oscar. 8 wins & 26 nominations total,"$100,138,851",United States,"English, Latin","In 15th-century Paris, Clopin the puppeteer tells the story of Quasimodo, the misshapen but gentle-souled bell ringer of Notre Dame, who was nearly killed as a baby by Claude Frollo, the Minister of Justice. But Frollo was forced by the Archdeacon of Notre Dame to raise Quasimodo as his own. Now a young man, Quasimodo is hidden from the world by Frollo in the belltower of the cathedral. But during the Festival of Fools, Quasimodo, cheered on by his gargoyle friends Victor, Hugo, and Laverne, decides to take part in the festivities, where he meets the lovely gypsy girl Esmeralda and the handsome soldier Phoebus. The three of them find themselves ranged against Frollo's cruelty and his attempts to destroy the home of the gypsies, the Court of Miracles. And Quasimodo must desperately defend both Esmeralda and the very cathedral of Notre Dame.",https://m.media-amazon.com/images/M/MV5BY2QzMGEzNGMtMDQyNC00YTlmLWEwYjMtOGI1NWYxMTM4NjA2XkEyXkFqcGc@._V1_SX300.jpg
Tetris,2023,31 Mar 2023,"Biography, Drama, History",118 min,Jon S. Baird,Noah Pink,"Taron Egerton, Mara Huf, Miles Barrow",R,7.4,61,"97,847",5 nominations total,N/A,"United Kingdom, United States","English, Russian, Japanese, Hungarian","Video game designer Henk Rogers seeks to secure global rights for Tetris (1984), leading to tense negotiations in the Soviet Union, involving creators, government, and corporate intrigues.",https://m.media-amazon.com/images/M/MV5BMDZhY2Y4ZGQtODk4MC00NGQwLWFiMWItNzU2M2Q3Nzk2MmVlXkEyXkFqcGc@._V1_SX300.jpg
Tarzan,1999,18 Jun 1999,"Animation, Adventure, Comedy",88 min,"Chris Buck, Kevin Lima","Edgar Rice Burroughs, Tab Murphy, Bob Tzudiker","Tony Goldwyn, Minnie Driver, Brian Blessed",G,7.3,80,"260,982",Won 1 Oscar. 11 wins & 23 nominations total,"$171,091,819","United States, Japan",English,"The movie is about the life of Tarzan. Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",https://m.media-amazon.com/images/M/MV5BZjM5OWM5NzktMTIzYy00OTk1LWIyYzAtYzBhNWY3NWQ2Y2Y0XkEyXkFqcGc@._V1_SX300.jpg
Annie,1982,18 Jun 1982,"Comedy, Drama, Family",127 min,John Huston,"Carol Sobieski, Thomas Meehan, Martin Charnin","Aileen Quinn, Albert Finney, Carol Burnett",PG,6.6,39,"51,861",Nominated for 2 Oscars. 3 wins & 13 nominations total,"$57,059,003",United States,English,"In the depths of the 1930s, Annie (Aileen Quinn) is a fiery young orphan girl who must live in a miserable orphanage run by the tyrannical Miss Agatha Hannigan (Carol Burnett). Her seemingly hopeless situation changes dramatically when she is selected to spend a short time at the residence of the wealthy munitions industrialist, Oliver ""Daddy"" Warbucks (Albert Finney). Quickly, she charms the hearts of the household staff and even the seemingly cold-hearted Warbucks cannot help but learn to love this wonderful girl. He decides to help Annie find her long-lost parents by offering a reward if they would come to him and prove their identity. However, Miss Agatha Hannigan, her evil brother, Daniel Francis ""Rooster"" Hannigan (Tim Curry), and a female accomplice, plan to impersonate those people to get the reward for themselves, which puts Annie in great danger.",https://m.media-amazon.com/images/M/MV5BZjQzOGJkNTAtYzY3NS00ZjViLWI4OTMtZTdkNzRjYWRmOTUwXkEyXkFqcGc@._V1_SX300.jpg
Dressed to Kill,1980,25 Jul 1980,"Crime, Drama, Mystery",104 min,Brian De Palma,Brian De Palma,"Michael Caine, Angie Dickinson, Nancy Allen",R,7.1,74,"52,818",1 win & 10 nominations total,"$31,899,000",United States,English,"While taking a shower, Kate Miller, a middle-aged, sexually frustrated New York City housewife, has a rape fantasy while her husband stands at the sink shaving. Later that day, after complaining to her psychiatrist Dr. Robert Elliott about her husband's pathetic performance in bed, she meets a strange man at a museum and returns to his apartment where they continue an adulterous encounter that began in the taxicab. Before she leaves his apartment, she finds papers which certify that the man has a venereal disease. Panicked, Kate rushes into the elevator, but has to return to his apartment when she realizes she's forgotten her wedding ring. When the elevator doors open, she's brutally slashed to death by a tall blonde woman wearing dark sunglasses. Liz Blake, a high-class call girl, is the only witness to the murder and she becomes the prime suspect and the murderer's next target. Liz is rescued from being killed by Kate's son Peter, who enlists the help of Liz to catch his mother's killer as Detective Marino, who's in charge of the case, is uncooperative in the investigation.",https://m.media-amazon.com/images/M/MV5BMTMzNjY0MDgxMV5BMl5BanBnXkFtZTcwMDE4NzQzNA@@._V1_SX300.jpg
Jerry and Marge Go Large,2022,17 Jun 2022,"Biography, Comedy, Drama",96 min,David Frankel,"Jason Fagone, Brad Copeland","Bryan Cranston, Annette Bening, Rainn Wilson",PG-13,6.9,52,"30,077",1 nomination total,N/A,United States,English,"Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.",https://m.media-amazon.com/images/M/MV5BMjUyMTM1ZjAtMmI5MS00MDhmLWI3MGEtMTU3ODM1MjgyZDMyXkEyXkFqcGc@._V1_SX300.jpg
Mandy,2018,14 Sep 2018,"Action, Fantasy, Horror",121 min,Panos Cosmatos,"Panos Cosmatos, Aaron Stewart-Ahn, Casper Kelly","Nicolas Cage, Andrea Riseborough, Linus Roache",Not Rated,6.5,83,"95,778",13 wins & 43 nominations total,"$1,233,694","United Kingdom, Belgium, United States",English,"Taking place in 1983, Red is a lumberjack who lives in a secluded cabin in the woods. His artist girlfriend Mandy spends her days reading fantasy paperbacks. Then one day, she catches the eye of a crazed cult leader, who conjures a group of motorcycle-riding demons to kidnap her. Red, armed with a crossbow and custom Axe, stops at nothing to get her back, leaving a bloody, brutal pile of bodies in his wake.",https://m.media-amazon.com/images/M/MV5BZGI1NTNhNzctOTk4OC00N2RjLTkwYTgtOGMwMWFjMzM5ZjNiXkEyXkFqcGc@._V1_SX300.jpg
The BFG,2016,01 Jul 2016,"Adventure, Family, Fantasy",117 min,Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton",PG,6.3,66,"96,806",Nominated for 1 BAFTA Award4 wins & 26 nominations total,"$55,483,770","United Kingdom, India, United States","English, Hindi","Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.",https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg
Street Fighter,1994,23 Dec 1994,"Action, Adventure, Comedy",102 min,Steven E. de Souza,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen",PG-13,4.1,34,"77,991",4 nominations total,"$33,423,521","Japan, United States, Australia, Hong Kong","English, Japanese, Esperanto","Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world.",https://m.media-amazon.com/images/M/MV5BMTliMDFmNDQtZjRlYS00MDE3LWJmOTktNjA0ZDUwZjcyNTdiXkEyXkFqcGc@._V1_SX300.jpg
Richard Jewell,2019,13 Dec 2019,"Biography, Crime, Drama",131 min,Clint Eastwood,"Billy Ray, Marie Brenner, Kent Alexander","Paul Walter Hauser, Sam Rockwell, Brandon Stanley",R,7.5,68,"101,229",Nominated for 1 Oscar. 6 wins & 20 nominations total,"$22,345,542",United States,English,"Based on the true story of Richard Jewell, a security guard who discovered a bomb and saved many lives at a concert at Centennial Olympic Park during the 1996 Summer Olympics in Atlanta, Georgia. He was seen as a hero by many and a suspect by the FBI and press.",https://m.media-amazon.com/images/M/MV5BMjI3ZThhNTYtM2ZlMy00OWMwLTk3M2MtM2IyYzYzN2IwMDA2XkEyXkFqcGc@._V1_SX300.jpg
Queen of the Damned,2002,22 Feb 2002,"Drama, Fantasy, Horror",101 min,Michael Rymer,"Anne Rice, Scott Abbott, Michael Petroni","Aaliyah, Stuart Townsend, Marguerite Moreau",R,5.3,30,"62,468",7 nominations total,"$30,336,800","United States, Australia",English,"After losing interest in immortality, vampire Lestat goes to sleep, awakening after a long time to the sounds of punk rock. Taking up as the leader of an undead band, Lestat gains fame but exposes vampires, drawing the attention of vampire enthusiast Jesse. His music also awakens the queen of the damned, Akasha the first vampire, who decides to make Lestat her king. After learning of her bloodlust, and designs to take over humankind, Lestat teams with the other vampire nobility to take her down. Lestat then turns Jesse into his undead mistress to spend eternity together.",https://m.media-amazon.com/images/M/MV5BMTYxNDEyMzEzMV5BMl5BanBnXkFtZTYwMDM1NjA3._V1_SX300.jpg
